product_id,display_name,display_name_len,description,description_len
beesmart.avatar.al_bee,BeeSmart Al Bee Avatar,22,A genius bee with big ideas! Al Bee loves,41
beesmart.avatar.brother_bee,BeeSmart Brother Bee Avatar,27,"Friendly, cool, and loyal - Brother Bee",39
beesmart.avatar.builder_bee,BeeSmart Builder Bee Avatar,27,"Hammer in one hand, honey in the other",38
beesmart.avatar.buda_bee,BeeSmart Buda Bee Avatar,24,"A peaceful little bee who loves calm vibes,",43
beesmart.avatar.buzz_bee,BeeSmart Buzz Bee Avatar,24,Always pumped and ready to go - Buzz Bee,40
beesmart.avatar.cool_bee,BeeSmart Cool Bee Avatar,24,Shades on,9
beesmart.avatar.cutie_bee,BeeSmart Cutie Bee Avatar,25,Adorable and sweet - Cutie Bee is guaranteed,44
beesmart.avatar.detective_bee,BeeSmart Detective Bee Avatar,29,Always on the case! Detective Bee finds clues,45
beesmart.avatar.diva_bee,BeeSmart Diva Bee Avatar,24,"Glamorous, glittery, and full of confidence",43
beesmart.avatar.doc_bee,BeeSmart Doc Bee Avatar,23,Dr,2
beesmart.avatar.explorer_bee,BeeSmart Explorer Bee Avatar,28,"Adventurous and curious, Explorer Bee loves",43
beesmart.avatar.fairy_bee,BeeSmart Fairy Bee Avatar,25,"Magical and enchanting, Fairy Bee brings",40
beesmart.avatar.franken_bee,BeeSmart Franken Bee Avatar,27,A silly spooky bee with a big heart - Franken,45
beesmart.avatar.honey_comb,BeeSmart Honey Comb Avatar,26,"Sweet, golden, and iconic - Honey Comb Bee",42
beesmart.avatar.j_rock_bee,BeeSmart J Rock Bee Avatar,26,"Ready to rock n' roll! Guitar in hand, J Rock",45
beesmart.avatar.knight_bee,BeeSmart Knight Bee Avatar,26,Brave and bold - Knight Bee protects your,41
beesmart.avatar.mascot_bee,BeeSmart Mascot Bee Avatar,26,The official BeeSmart cheerleader! Mascot Bee,45
beesmart.avatar.professor_bee,BeeSmart Professor Bee Avatar,29,"Wise, clever, and super smart - Professor Bee",45
beesmart.avatar.queen_bee,BeeSmart Queen Bee Avatar,25,"Royal, radiant, and full of leadership",38
beesmart.avatar.robo_bee,BeeSmart Robo Bee Avatar,24,Bzz-bzz-beep! Robo Bee is a high-tech helper,44
beesmart.avatar.rocker_bee,BeeSmart Rocker Bee Avatar,26,Crank up the volume - Rocker Bee brings,39
beesmart.avatar.sea_bee,BeeSmart Sea Bee Avatar,23,A deep-sea explorer bee who loves ocean,39
beesmart.avatar.selfie_bee,BeeSmart Selfie Bee Avatar,26,"Smile! Selfie Bee loves photos, fun, and",40
beesmart.avatar.vamp_bee,BeeSmart Vamp Bee Avatar,24,A funny little night bee who is more cute,41
beesmart.avatar.ware_bee,BeeSmart Ware Bee Avatar,24,A cyber-tech defender bee - Ware Bee protects,45
beesmart.avatar.zom_bee,BeeSmart Zom Bee Avatar,23,"Silly, slow, and super funny - Zom Bee brings",45
beesmart.avatar.motor_bee,BeeSmart Motor Bee Avatar,25,"Fast and focused, Motor Bee zooms into action",45
beesmart.avatar.o_bee,BeeSmart O Bee Avatar,21,A classic BeeSmart sidekick - O Bee keeps,41
beesmart.avatar.singer_bee,BeeSmart Singer Bee Avatar,26,Microphone ready - Singer Bee hits every high,45
beesmart.avatar.space_bee,BeeSmart Space Bee Avatar,25,Out-of-this-world awesome! Space Bee is ready,45
beesmart.avatar.super_bee,BeeSmart Super Bee Avatar,25,"Strong, bold, and heroic - Super Bee saves",42
beesmart.avatar.gamer_bee,BeeSmart Gamer Bee Avatar,25,Headset on and controller ready - Gamer Bee,43
beesmart.avatar.inventor_bee,BeeSmart Inventor Bee Avatar,28,A brilliant spark-powered genius - Inventor,43
beesmart.avatar.lumberjack_bee,BeeSmart Lumberjack Bee Avatar,30,"Strong, brave, and outdoorsy - Lumberjack Bee",45
beesmart.avatar.nurse_bee,BeeSmart Nurse Bee Avatar,25,"Caring, kind, and always helpful - Nurse Bee",44
beesmart.avatar.plumber_bee,BeeSmart Plumber Bee Avatar,27,Fixing leaks and spelling streaks! Plumber,42
beesmart.avatar.techno_bee,BeeSmart Techno Bee Avatar,26,Glowing neon armor and futuristic style,39
beesmart.avatar.umpire_bee,BeeSmart Umpire Bee Avatar,26,'You're SAFE!' Umpire Bee calls the plays and,45
beesmart.avatar.xray_bee,BeeSmart Xray Bee Avatar,24,Glowing bones and a bright smile - X-Ray Bee,44
beesmart.avatar.yeti_bee,BeeSmart Yeti Bee Avatar,24,"Chilly, fluffy, and super friendly - Yeti Bee",45
